date,high_T,low_T,skycon,skycon2
2015/12/2,12,3,partly_cloudy_day,cloudy
2015/12/3,10,0,clear_day,clear_day
2015/12/4,9,2,clear_day,clear_day
2015/12/5,8,4,rain,rain
2015/12/6,10,2,partly_cloudy_day,cloudy
2015/12/7,12,3,clear_day,clear_day
2015/12/8,13,6,partly_cloudy_day,cloudy
2015/12/9,12,8,rain,rain
2015/12/10,12,7,cloudy,cloudy
2015/12/11,10,1,partly_cloudy_day,cloudy
2015/12/12,10,2,clear_day,clear_day
2015/12/13,9,3,partly_cloudy_day,cloudy
2015/12/14,10,4,cloudy,cloudy
2015/12/15,10,0,partly_cloudy_day,cloudy
2015/12/16,6,-3,clear_day,clear_day
2015/12/17,5,-3,clear_day,clear_day
2015/12/18,6,-2,partly_cloudy_day,cloudy
2015/12/19,9,2,cloudy,cloudy
2015/12/20,8,2,rain,rain
2015/12/21,8,0,partly_cloudy_day,cloudy
2015/12/22,11,6,cloudy,cloudy
2015/12/23,10,7,cloudy,cloudy
2015/12/24,10,4,rain,rain
2015/12/25,10,2,partly_cloudy_day,cloudy
2015/12/26,14,4,clear_day,clear_day
2015/12/27,9,1,cloudy,cloudy
2015/12/28,6,-1,partly_cloudy_day,cloudy
2015/12/29,9,0,partly_cloudy_day,cloudy
2015/12/30,11,0,clear_day,clear_day
2015/12/31,9,-1,clear_day,clear_day
2016/1/1,11,2,partly_cloudy_day,cloudy
2016/1/2,15,7,partly_cloudy_day,cloudy
2016/1/3,16,7,partly_cloudy_day,cloudy
2016/1/4,13,7,rain,rain
2016/1/5,10,5,rain,rain
2016/1/6,8,3,cloudy,cloudy
2016/1/7,6,-1,cloudy,cloudy
2016/1/8,7,-1,clear_day,clear_day
2016/1/9,9,-1,partly_cloudy_day,cloudy
2016/1/10,10,4,rain,rain
2016/1/11,8,1,snow,snow
2016/1/12,3,-3,snow,snow
2016/1/13,4,-2,partly_cloudy_day,cloudy
2016/1/14,7,-2,partly_cloudy_day,cloudy
2016/1/15,8,-2,clear_day,clear_day
2016/1/16,10,1,partly_cloudy_day,cloudy
2016/1/17,8,0,rain,rain
2016/1/18,3,-4,clear_day,clear_day
2016/1/19,3,-4,partly_cloudy_day,cloudy
2016/1/20,3,-2,cloudy,cloudy
2016/1/21,2,-2,snow,snow
2016/1/22,3,-4,snow,snow
2016/1/23,-3,-10,cloudy,cloudy
2016/1/24,-6,-10,clear_day,clear_day
2016/1/25,2,-8,clear_day,clear_day
2016/1/26,6,-4,partly_cloudy_day,cloudy
2016/1/27,8,-1,partly_cloudy_day,cloudy
2016/1/28,6,3,rain,rain
2016/1/29,5,1,rain,rain
2016/1/30,5,-1,cloudy,cloudy
2016/1/31,4,-2,snow,snow
2016/2/1,2,-5,partly_cloudy_day,cloudy
2016/2/2,5,-4,partly_cloudy_day,cloudy
2016/2/3,7,-3,clear_day,clear_day
2016/2/4,7,-2,partly_cloudy_day,cloudy
2016/2/5,9,-2,partly_cloudy_day,cloudy
2016/2/6,7,-3,clear_day,clear_day
2016/2/7,10,-2,partly_cloudy_day,cloudy
2016/2/8,15,2,clear_day,clear_day
2016/2/9,17,2,clear_day,clear_day
